objid,k,thresh,p,r,j,fpr,fnr
46,500,0.5,0.9813542688910697,0.5511160099200881,0.545404963185165,0.028569065716369323,44.88839900799118
46,500,0.8,0.9813542688910697,0.5511160099200881,0.545404963185165,0.028569065716369323,44.88839900799118
47,100,0.2,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
47,100,0.5,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
47,100,0.8,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
47,500,0.2,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
47,500,0.5,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
47,500,0.8,0.8102421595871377,0.8630021141649049,0.717903622933521,0.17643910451617667,13.699788583509514
5,100,0.2,0.7515295046378527,0.9404791306495431,0.7174076865109269,0.41530458418411953,5.95208693504569
5,100,0.5,0.8344709897610921,0.8453939244257841,0.7239847715736041,0.2239807884519596,15.460607557421586
5,100,0.8,0.9737072743207712,0.5487774759199803,0.5407641761985885,0.019792116799878606,45.12225240800198
5,500,0.2,0.7515295046378527,0.9404791306495431,0.7174076865109269,0.41530458418411953,5.95208693504569
5,500,0.5,0.8344709897610921,0.8453939244257841,0.7239847715736041,0.2239807884519596,15.460607557421586
5,500,0.8,0.9737072743207712,0.5487774759199803,0.5407641761985885,0.019792116799878606,45.12225240800198
6,100,0.2,0.9,0.7725321888412017,0.7114624505928854,0.019575792574901878,22.746781115879827
6,100,0.5,0.9,0.7725321888412017,0.7114624505928854,0.019575792574901878,22.746781115879827
6,100,0.8,0.9111498257839721,0.748211731044349,0.6973333333333334,0.016639423688666596,25.17882689556509
6,500,0.2,0.9,0.7725321888412017,0.7114624505928854,0.019575792574901878,22.746781115879827
6,500,0.5,0.9,0.7725321888412017,0.7114624505928854,0.019575792574901878,22.746781115879827
6,500,0.8,0.9111498257839721,0.748211731044349,0.6973333333333334,0.016639423688666596,25.17882689556509
7,100,0.2,0.4927338782924614,0.9655172413793104,0.48421287515340844,1.476024512313969,3.4482758620689653
7,100,0.5,0.8793103448275862,0.37441601779755285,0.35611510791366907,0.07631192084702929,62.55839822024471
7,100,0.8,0.8902976846747519,0.3592880978865406,0.344056242011078,0.06574057250458368,64.07119021134594
7,500,0.2,0.4927338782924614,0.9655172413793104,0.48421287515340844,1.476024512313969,3.4482758620689653
7,500,0.5,0.8793103448275862,0.37441601779755285,0.35611510791366907,0.07631192084702929,62.55839822024471
7,500,0.8,0.8902976846747519,0.3592880978865406,0.344056242011078,0.06574057250458368,64.07119021134594
8,100,0.2,0.5334722157202378,0.8855000388530577,0.49904749392366815,7.065175007621356,11.449996114694226
8,100,0.5,0.7716798929151927,0.6271660579687621,0.5290030805531887,1.6930046578896993,37.28339420312379
8,100,0.8,0.984548825710754,0.12378584194576113,0.12354583527221964,0.017724085614423152,87.62141580542388
8,500,0.2,0.5334722157202378,0.8855000388530577,0.49904749392366815,7.065175007621356,11.449996114694226
8,500,0.5,0.7716798929151927,0.6271660579687621,0.5290030805531887,1.6930046578896993,37.28339420312379
8,500,0.8,0.984548825710754,0.12378584194576113,0.12354583527221964,0.017724085614423152,87.62141580542388
