,sample,objid,wid,clust
807,5workers_rand9,26,187,0
808,5workers_rand9,26,175,0
809,5workers_rand9,26,148,0
810,5workers_rand9,27,148,0
811,5workers_rand9,27,159,0
812,5workers_rand9,27,175,0
813,5workers_rand9,27,181,0
814,5workers_rand9,27,68,0
815,5workers_rand9,28,230,0
816,5workers_rand9,28,239,0
817,5workers_rand9,28,196,0
818,5workers_rand9,28,199,0
819,5workers_rand9,28,156,0
820,5workers_rand9,29,184,1
821,5workers_rand9,29,239,0
822,5workers_rand9,29,9,0
823,5workers_rand9,29,187,0
824,5workers_rand9,29,146,1
825,5workers_rand9,30,225,1
826,5workers_rand9,30,234,1
827,5workers_rand9,30,187,1
828,5workers_rand9,30,156,1
829,5workers_rand9,30,161,1
830,5workers_rand9,31,52,0
831,5workers_rand9,31,193,0
832,5workers_rand9,31,208,0
833,5workers_rand9,31,156,0
834,5workers_rand9,31,34,2
835,5workers_rand9,32,219,0
836,5workers_rand9,32,234,0
837,5workers_rand9,32,156,0
838,5workers_rand9,32,187,0
839,5workers_rand9,32,146,0
840,5workers_rand9,33,187,0
841,5workers_rand9,33,209,0
842,5workers_rand9,33,82,1
843,5workers_rand9,33,175,0
844,5workers_rand9,33,72,1
845,5workers_rand9,34,196,1
846,5workers_rand9,34,214,1
847,5workers_rand9,34,230,1
848,5workers_rand9,34,219,1
849,5workers_rand9,34,148,1
850,5workers_rand9,37,234,0
851,5workers_rand9,37,241,0
852,5workers_rand9,37,201,1
853,5workers_rand9,37,184,0
854,5workers_rand9,37,182,1
855,5workers_rand9,40,159,0
856,5workers_rand9,40,193,1
857,5workers_rand9,40,205,0
858,5workers_rand9,40,75,0
859,5workers_rand9,40,92,0
860,5workers_rand9,41,193,0
861,5workers_rand9,41,215,0
862,5workers_rand9,41,240,1
863,5workers_rand9,41,234,0
864,5workers_rand9,41,141,0
865,5workers_rand9,42,181,1
866,5workers_rand9,42,199,0
867,5workers_rand9,42,208,1
868,5workers_rand9,42,161,0
869,5workers_rand9,42,75,1
